NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,0,1,1,0,,381.8,438.7,,espanhol,3.0,0.0,0.0,0.0,0.0,0.0,0.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Aracruz,1,1,1,1,404.4,525.9,432.2,578.9,espanhol,1.0,120.0,120.0,120.0,120.0,120.0,600.0,nao
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Vitória,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,575.7,590.8,594.3,588.2,ingles,1.0,140.0,180.0,140.0,140.0,180.0,780.0,sim
"2,10E+11",17,F,1,amarela,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,488.4,549.8,526.9,473.3,ingles,1.0,120.0,160.0,80.0,120.0,120.0,600.0,sim
"2,10E+11",<_17,M,1,branca,1,3,nao_respondeu,1,,Vitória,1,1,1,1,588.8,493.6,526.3,614.1,ingles,1.0,120.0,160.0,120.0,120.0,60.0,580.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Vitória,0,1,1,0,,403.9,571.8,,ingles,1.0,120.0,200.0,120.0,120.0,80.0,640.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Marataízes,1,1,1,1,454.3,494.2,541.9,702.3,espanhol,1.0,140.0,120.0,100.0,120.0,0.0,480.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Iúna,1,1,1,1,619.0,603.7,501.1,479.4,ingles,1.0,140.0,200.0,180.0,180.0,140.0,840.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,392.5,529.3,557.4,570.0,ingles,4.0,0.0,0.0,0.0,0.0,0.0,0.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,566.1,582.5,568.6,684.5,ingles,1.0,160.0,200.0,180.0,160.0,200.0,900.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,377.6,505.7,553.4,545.0,ingles,1.0,120.0,200.0,120.0,140.0,140.0,720.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,522.5,591.1,572.7,592.2,ingles,1.0,160.0,200.0,140.0,160.0,160.0,820.0,sim
"2,10E+11",18,F,1,parda,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,0,1,1,0,,611.5,614.2,,ingles,1.0,160.0,200.0,160.0,160.0,200.0,880.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Santa Teresa,1,1,1,1,406.0,411.0,434.9,375.0,ingles,1.0,100.0,120.0,100.0,100.0,0.0,420.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,João Neiva,0,0,0,0,,,,,ingles,,,,,,,,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,São Mateus,0,1,1,0,,527.5,550.3,,ingles,1.0,120.0,100.0,80.0,120.0,0.0,420.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Brejetuba,1,1,1,1,528.3,471.4,371.8,476.4,espanhol,1.0,120.0,120.0,100.0,120.0,40.0,500.0,sim
"2,10E+11",<_17,F,1,branca,1,3,nao_respondeu,1,,Linhares,1,1,1,1,501.8,515.1,509.8,440.2,ingles,1.0,120.0,120.0,100.0,120.0,100.0,560.0,sim
"2,10E+11",<_17,F,1,parda,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,488.4,490.3,435.7,534.1,espanhol,1.0,80.0,120.0,100.0,80.0,60.0,440.0,sim
